admin2,hc_cluster_id
SUMBAWA BARAT,30
SUMEDANG,21
SUMENEP,30
SUPIORI,41
TABALONG,40
TABANAN,36
TAKALAR,38
TAMBRAUW,24
TANA TIDUNG,40
TANA TORAJA,26
TANAH BUMBU,30
TANAH DATAR,23
TANAH LAUT,40
TANGERANG,33
TANGGAMUS,41
TANJUNG JABUNG BARAT,40
TANJUNG JABUNG TIMUR,40
TAPANULI SELATAN,23
TAPANULI TENGAH,13
TAPANULI UTARA,26
TAPIN,40
TASIKMALAYA,23
TEBO,40
TEGAL,37
TELUK BINTUNI,39
TELUK WONDAMA,39
TEMANGGUNG,22
TIMOR TENGAH SELATAN,29
TIMOR TENGAH UTARA,29
TOBA SAMOSIR,26
TOJO UNA-UNA,23
TOLI-TOLI,41
TOLIKARA,10
TORAJA UTARA,26
TRENGGALEK,36
TUBAN,30
TULANG BAWANG BARAT,40
TULANGBAWANG,40
TULUNGAGUNG,36
WAJO,30
WAKATOBI,43
WAROPEN,39
WAY KANAN,40
WONOGIRI,36
WONOSOBO,22
YAHUKIMO,9
YALIMO,6
