admin2,hc_cluster_id
NABIRE,9
NAGAN RAYA,10
NAGEKEO,20
NATUNA,23
NDUGA,6
NGADA,13
NGANJUK,18
NGAWI,18
NIAS,22
NIAS BARAT,22
NIAS SELATAN,22
NIAS UTARA,22
NUNUKAN,22
OGAN ILIR,22
OGAN KOMERING ILIR,22
OGAN KOMERING ULU,22
OGAN KOMERING ULU SELATAN,14
OGAN KOMERING ULU TIMUR,22
PACITAN,20
PADANG LAWAS,22
PADANG LAWAS UTARA,22
PADANG PARIAMAN,9
PAKPAK BHARAT,15
PAMEKASAN,18
PANDEGLANG,18
PANGANDARAN,20
PANGKAJENE DAN KEPULAUAN,21
PANIAI,1
PARIGI MOUTONG,22
PASAMAN,14
PASAMAN BARAT,9
PASER,22
PASURUAN,18
PATI,18
PEGUNUNGAN ARFAK,5
PEGUNUNGAN BINTANG,3
PEKALONGAN,21
PELALAWAN,22
PEMALANG,21
PENAJAM PASER UTARA,22
PENUKAL ABAB LEMATANG ILIR,22
PESAWARAN,22
PESISIR BARAT,22
PESISIR SELATAN,9
PIDIE,22
PIDIE JAYA,22
PINRANG,21
POHUWATO,22
POLEWALI MANDAR,22
PONOROGO,20
POSO,14
PRINGSEWU,22
PROBOLINGGO,20
PULANG PISAU,22
PULAU MOROTAI,23
PULAU TALIABU,22
PUNCAK,1
PUNCAK JAYA,7
PURBALINGGA,20
PURWAKARTA,18
PURWOREJO,20
RAJA AMPAT,22
REJANG LEBONG,14
REMBANG,18
ROKAN HILIR,22
ROKAN HULU,22
ROTE NDAO,24
SABU RAIJUA,24
SAMBAS,22
SAMOSIR,15
SAMPANG,18
SANGGAU,22
SARMI,22
SAROLANGUN,22
SEKADAU,22
SELUMA,9
SEMARANG,13
SERAM BAGIAN BARAT,22
SERAM BAGIAN TIMUR,22
SERANG,18
SERDANG BEDAGAI,22
SERUYAN,22
SIAK,22
SIAU TAGULANDANG BIARO,23
SIDENRENG RAPPANG,21
SIDOARJO,18
SIGI,14
SIJUNJUNG,20
SIKKA,18
SIMALUNGUN,14
SIMEULUE,22
SINJAI,20
SINTANG,22
SITUBONDO,18
SLEMAN,20
SOLOK,14
SOLOK SELATAN,14
SOPPENG,21
SORONG,22
SORONG SELATAN,22
SRAGEN,18
SUBANG,18
SUKABUMI,14
SUKAMARA,22
SUKOHARJO,18
SUMBA BARAT,20
SUMBA BARAT DAYA,18
SUMBA TENGAH,20
SUMBA TIMUR,20
SUMBAWA,18
SUMBAWA BARAT,18
SUMEDANG,13
SUMENEP,18
SUPIORI,22
TABALONG,22
TABANAN,20
TAKALAR,21
TAMBRAUW,14
TANA TIDUNG,22
TANA TORAJA,15
TANAH BUMBU,18
TANAH DATAR,14
TANAH LAUT,22
TANGERANG,18
TANGGAMUS,22
TANJUNG JABUNG BARAT,22
TANJUNG JABUNG TIMUR,22
TAPANULI SELATAN,14
TAPANULI TENGAH,9
TAPANULI UTARA,15
TAPIN,22
TASIKMALAYA,14
TEBO,22
TEGAL,21
TELUK BINTUNI,22
TELUK WONDAMA,22
TEMANGGUNG,13
TIMOR TENGAH SELATAN,17
TIMOR TENGAH UTARA,17
TOBA SAMOSIR,15
TOJO UNA-UNA,14
TOLI-TOLI,22
TOLIKARA,7
TORAJA UTARA,15
TRENGGALEK,20
TUBAN,18
TULANG BAWANG BARAT,22
TULANGBAWANG,22
TULUNGAGUNG,20
WAJO,18
WAKATOBI,23
WAROPEN,22
WAY KANAN,22
WONOGIRI,20
WONOSOBO,13
YAHUKIMO,6
YALIMO,3
